TransactionID,TransactionAmt,C1,C11,C13,C14,V187,V189,V244,V258,isFraud
2987010,75.887,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0
2987040,75.887,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0
2987048,42.294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987049,3.595,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0
2987072,6.767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987074,27.793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987084,125.674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987093,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987099,75.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0
2987111,18.186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987114,4.433,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
2987130,70.933,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0
2987141,200.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
2987144,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987145,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987156,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987189,57.399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987192,5.982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987196,8.641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0
2987209,21.993,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0
2987236,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987243,37.098,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1
2987245,37.098,2.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1
2987252,48.638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0
2987258,48.638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0
2987262,55.829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0
2987266,48.578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987271,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987284,18.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987301,20.905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987316,19.576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987328,16.857,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0
2987332,100.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
2987335,100.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
2987336,100.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
2987338,100.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
2987355,500.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
2987361,500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2987367,225.0,7.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,1
2987374,500.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0
